id,issue_d,loan_status,term,funded_amnt,annual_inc,dti,fico_range_low,mths_since_last_delinq,emp_length,grade,home_ownership,issue_date,good_bad,
1041043,2/1/16,Current, 60 months,28000,125000,18.98,710,,3 years,B,MORTGAGE,2/1/16,Good,
1041047,2/1/16,Fully Paid, 36 months,29225,146000,25.88,670,2,10+ years,D,MORTGAGE,2/1/16,Good,
1041052,2/1/16,Fully Paid, 60 months,24000,91000,17.3,695,71,10+ years,B,RENT,2/1/16,Good,
1041055,2/1/16,Fully Paid, 36 months,24000,71000,18.18,665,,10+ years,C,RENT,2/1/16,Good,
1041056,2/1/16,Fully Paid, 36 months,12000,42000,13.2,675,5,5 years,C,MORTGAGE,2/1/16,Good,
1041057,2/1/16,Fully Paid, 36 months,27725,76000,21.45,750,16,10+ years,B,MORTGAGE,2/1/16,Good,
1041063,2/1/16,Fully Paid, 36 months,35000,190000,12.75,800,,5 years,A,MORTGAGE,2/1/16,Good,
1041064,2/1/16,Fully Paid, 36 months,10000,55000,25.59,730,,2 years,A,RENT,2/1/16,Good,
1041065,2/1/16,Fully Paid, 60 months,12000,124000,12.07,700,,7 years,C,MORTGAGE,2/1/16,Good,
1041070,2/1/16,Fully Paid, 36 months,35000,215000,23.71,690,,5 years,C,MORTGAGE,2/1/16,Good,
1041073,2/1/16,Fully Paid, 36 months,12000,55000,18.72,680,,8 years,C,RENT,2/1/16,Good,
1041075,2/1/16,Fully Paid, 36 months,5000,43000,19.59,680,48,10+ years,D,MORTGAGE,2/1/16,Good,
1041084,2/1/16,Fully Paid, 36 months,8000,55000,19.82,735,,10+ years,A,MORTGAGE,2/1/16,Good,
1041089,2/1/16,Fully Paid, 36 months,7000,38000,28.4,670,24,2 years,C,MORTGAGE,2/1/16,Good,
1041093,2/1/16,Fully Paid, 36 months,21000,121000,20.93,705,26,10+ years,B,MORTGAGE,2/1/16,Good,
1041103,2/1/16,Charged Off, 36 months,10000,35900,29.18,675,,10+ years,C,RENT,2/1/16,Bad,
1041104,2/1/16,Fully Paid, 36 months,29000,142000,9.2,685,26,10+ years,A,MORTGAGE,2/1/16,Good,
1041106,2/1/16,Fully Paid, 36 months,10000,100000,8.35,705,20,10+ years,A,OWN,2/1/16,Good,
1041107,2/1/16,Fully Paid, 36 months,10900,26000,30.98,710,,7 years,C,RENT,2/1/16,Good,
1041116,2/1/16,Fully Paid, 36 months,7000,26832,11.36,695,,7 years,B,RENT,2/1/16,Good,
1041117,2/1/16,Fully Paid, 36 months,2000,28000,23.61,710,6,< 1 year,B,RENT,2/1/16,Good,
1041120,2/1/16,Fully Paid, 36 months,2150,48000,22.13,660,,4 years,C,RENT,2/1/16,Good,
1041124,2/1/16,Fully Paid, 36 months,24000,81000,18.8,695,8,10+ years,C,MORTGAGE,2/1/16,Good,
1041127,2/1/16,Fully Paid, 36 months,4200,48000,32.1,710,,10+ years,B,MORTGAGE,2/1/16,Good,
1041130,2/1/16,Fully Paid, 36 months,17600,50000,9.82,690,49,7 years,C,RENT,2/1/16,Good,
1041131,2/1/16,Fully Paid, 36 months,15000,135000,31.32,675,41,< 1 year,C,MORTGAGE,2/1/16,Good,
1041132,2/1/16,Fully Paid, 36 months,10500,92000,19.02,790,,3 years,A,MORTGAGE,2/1/16,Good,
1041133,2/1/16,Fully Paid, 36 months,28000,175000,16.9,705,,10+ years,A,MORTGAGE,2/1/16,Good,
1041134,2/1/16,Current, 60 months,28000,117500,22.65,695,,10+ years,B,MORTGAGE,2/1/16,Good,
1041143,2/1/16,Fully Paid, 36 months,5000,58517.98,28.63,695,38,10+ years,B,MORTGAGE,2/1/16,Good,
1041146,2/1/16,Current, 60 months,20000,100000,24.82,685,76,10+ years,C,MORTGAGE,2/1/16,Good,
1041150,2/1/16,Fully Paid, 36 months,12000,70000,14.64,720,,8 years,A,MORTGAGE,2/1/16,Good,
1041153,2/1/16,Fully Paid, 36 months,15000,48000,33.78,705,20,10+ years,A,MORTGAGE,2/1/16,Good,
1041160,2/1/16,Fully Paid, 36 months,13000,100000,13.77,675,9,9 years,C,MORTGAGE,2/1/16,Good,
1041164,2/1/16,Fully Paid, 36 months,8000,55000,27.08,670,65,1 year,D,RENT,2/1/16,Good,
1041166,2/1/16,Fully Paid, 36 months,10875,31000,19.86,755,,< 1 year,A,MORTGAGE,2/1/16,Good,
1041168,2/1/16,Fully Paid, 36 months,25000,130000,22.71,780,,10+ years,A,MORTGAGE,2/1/16,Good,
1041169,2/1/16,Current, 60 months,10000,51000,27.95,665,71,2 years,E,RENT,2/1/16,Good,
1041172,2/1/16,Fully Paid, 36 months,35000,80000,11.16,745,,< 1 year,B,MORTGAGE,2/1/16,Good,
1041174,2/1/16,Current, 60 months,14075,32000,21.61,730,36,5 years,C,RENT,2/1/16,Good,
1041175,2/1/16,Fully Paid, 36 months,5075,114000,25.91,715,,< 1 year,B,MORTGAGE,2/1/16,Good,
1041176,2/1/16,Fully Paid, 36 months,25000,90000,13.64,735,,,C,RENT,2/1/16,Good,
1041178,2/1/16,Current, 60 months,12000,52000,14.4,700,,3 years,C,MORTGAGE,2/1/16,Good,
1041181,2/1/16,Charged Off, 36 months,4400,75000,6.42,780,,4 years,E,RENT,2/1/16,Bad,
1041182,2/1/16,Fully Paid, 36 months,21000,72500,15.17,705,36,10+ years,A,MORTGAGE,2/1/16,Good,
1041183,2/1/16,Fully Paid, 36 months,15000,96000,16.95,695,,4 years,B,RENT,2/1/16,Good,
1041185,2/1/16,Charged Off, 60 months,11700,32000,16.92,670,,8 years,C,OWN,2/1/16,Bad,
1041186,2/1/16,Fully Paid, 36 months,7500,120000,23.55,720,70,1 year,A,MORTGAGE,2/1/16,Good,
1041187,2/1/16,Charged Off, 36 months,10200,34000,11.39,675,72,7 years,C,MORTGAGE,2/1/16,Bad,
1041190,2/1/16,Fully Paid, 60 months,12000,74000,11.61,690,30,10+ years,B,OWN,2/1/16,Good,
1041192,2/1/16,Fully Paid, 36 months,16000,90750,5.75,700,,6 years,B,OWN,2/1/16,Good,
1041197,2/1/16,Fully Paid, 60 months,34800,225000,18.72,705,,10+ years,B,MORTGAGE,2/1/16,Good,
1041199,2/1/16,Fully Paid, 36 months,1600,48000,11.38,660,50,2 years,C,RENT,2/1/16,Good,
1041200,2/1/16,Current, 60 months,24000,112000,17.51,720,38,5 years,B,MORTGAGE,2/1/16,Good,
1041206,2/1/16,Fully Paid, 36 months,8500,28500,18.02,680,,5 years,A,RENT,2/1/16,Good,
1041210,2/1/16,Fully Paid, 36 months,14000,57500,32.18,730,,2 years,B,MORTGAGE,2/1/16,Good,
1041212,2/1/16,Fully Paid, 36 months,25000,110000,26.37,715,37,10+ years,C,MORTGAGE,2/1/16,Good,
1041214,2/1/16,Fully Paid, 36 months,8400,78000,17.25,670,17,10+ years,C,RENT,2/1/16,Good,
1041215,2/1/16,Fully Paid, 36 months,10000,45000,26.35,700,,10+ years,B,MORTGAGE,2/1/16,Good,
1041218,2/1/16,Charged Off, 60 months,10525,37967,24.94,685,41,2 years,C,MORTGAGE,2/1/16,Bad,
1041219,2/1/16,Fully Paid, 36 months,13500,37500,12.7,700,,4 years,D,MORTGAGE,2/1/16,Good,
1041222,2/1/16,Fully Paid, 36 months,2400,69000,20,660,,2 years,C,MORTGAGE,2/1/16,Good,
1041224,2/1/16,Charged Off, 36 months,7000,44000,25.34,705,,6 years,C,MORTGAGE,2/1/16,Bad,
1041226,2/1/16,Fully Paid, 36 months,25000,63000,14.08,710,37,1 year,A,RENT,2/1/16,Good,
1041233,2/1/16,Fully Paid, 36 months,12000,63000,17.05,700,11,2 years,A,MORTGAGE,2/1/16,Good,
1041235,2/1/16,Fully Paid, 36 months,6000,49983,26.39,715,,5 years,A,MORTGAGE,2/1/16,Good,
1041237,2/1/16,Fully Paid, 36 months,10000,75000,10.16,730,,10+ years,A,RENT,2/1/16,Good,
1041238,2/1/16,Fully Paid, 36 months,10000,60000,17.82,770,,2 years,A,MORTGAGE,2/1/16,Good,
1041252,2/1/16,Fully Paid, 36 months,7450,68000,14.07,660,,7 years,C,RENT,2/1/16,Good,
1041259,2/1/16,Fully Paid, 36 months,5000,35256,26.58,765,,,B,MORTGAGE,2/1/16,Good,
1041263,2/1/16,Fully Paid, 36 months,18150,56732,19.06,685,,1 year,C,RENT,2/1/16,Good,
1041266,2/1/16,Fully Paid, 36 months,9100,80000,14.09,700,66,6 years,B,OWN,2/1/16,Good,
1041268,2/1/16,Fully Paid, 36 months,10000,130000,20.95,800,,7 years,A,MORTGAGE,2/1/16,Good,
1041269,2/1/16,Current, 60 months,11000,25700,26.87,705,47,5 years,C,OWN,2/1/16,Good,
1041276,2/1/16,Fully Paid, 36 months,9600,38000,13.61,745,33,2 years,A,RENT,2/1/16,Good,
1041279,2/1/16,Fully Paid, 60 months,25000,77000,26.96,680,,10+ years,B,MORTGAGE,2/1/16,Good,
1041282,2/1/16,Charged Off, 36 months,7200,30000,13.12,680,,1 year,D,RENT,2/1/16,Bad,
1041283,2/1/16,Fully Paid, 36 months,12000,69000,24.94,660,,3 years,C,RENT,2/1/16,Good,
1041285,2/1/16,Fully Paid, 36 months,24000,75000,22.8,710,,10+ years,A,RENT,2/1/16,Good,
1041286,2/1/16,Fully Paid, 36 months,16800,120000,10.86,770,,3 years,A,RENT,2/1/16,Good,
1041287,2/1/16,Fully Paid, 60 months,14400,65000,8.6,670,16,4 years,C,RENT,2/1/16,Good,
1041288,2/1/16,Fully Paid, 36 months,5000,54804,23.29,770,,10+ years,A,MORTGAGE,2/1/16,Good,
1041289,2/1/16,Fully Paid, 36 months,13500,50000,31.42,710,,5 years,C,OWN,2/1/16,Good,
1041294,2/1/16,Fully Paid, 36 months,5500,30000,19.08,685,23,4 years,C,MORTGAGE,2/1/16,Good,
1041298,2/1/16,Fully Paid, 36 months,8000,50000,7.01,715,,1 year,B,MORTGAGE,2/1/16,Good,
1041299,2/1/16,Fully Paid, 36 months,10800,30000,9.8,720,,6 years,C,OWN,2/1/16,Good,
1041300,2/1/16,Fully Paid, 36 months,17400,85000,29.55,690,52,5 years,D,RENT,2/1/16,Good,
1041301,2/1/16,Fully Paid, 36 months,24000,58000,20.19,750,,6 years,A,MORTGAGE,2/1/16,Good,
1041304,2/1/16,Current, 36 months,14400,42000,27.6,680,,2 years,B,RENT,2/1/16,Good,
1041307,2/1/16,Charged Off, 36 months,27675,100500,19.18,690,,10+ years,D,MORTGAGE,2/1/16,Bad,
1041309,2/1/16,Fully Paid, 36 months,24000,65000,16.3,710,41,10+ years,A,OWN,2/1/16,Good,
1041310,2/1/16,Charged Off, 36 months,10775,40000,33.98,690,41,4 years,D,OWN,2/1/16,Bad,
1041313,2/1/16,Fully Paid, 60 months,10000,78496,28.62,710,,9 years,C,MORTGAGE,2/1/16,Good,
1041316,2/1/16,Current, 60 months,10000,28000,26.49,660,,< 1 year,C,RENT,2/1/16,Good,
1041317,2/1/16,Fully Paid, 36 months,20000,73444,31.66,660,1,10+ years,C,RENT,2/1/16,Good,
1041319,2/1/16,Fully Paid, 36 months,35000,92000,15.68,710,15,7 years,D,OWN,2/1/16,Good,
1041320,2/1/16,Fully Paid, 36 months,12000,70000,12.48,685,,,B,MORTGAGE,2/1/16,Good,
1041322,2/1/16,Fully Paid, 36 months,3000,36000,7.3,680,,10+ years,B,MORTGAGE,2/1/16,Good,
1041324,2/1/16,Charged Off, 60 months,11000,63000,11.56,695,10,5 years,B,RENT,2/1/16,Bad,
1041326,2/1/16,Fully Paid, 36 months,25000,105000,16.54,680,21,4 years,C,MORTGAGE,2/1/16,Good,
1041327,2/1/16,Fully Paid, 60 months,14000,70000,26.35,725,,2 years,B,MORTGAGE,2/1/16,Good,
1041328,2/1/16,Charged Off, 36 months,5000,150000,13.26,680,57,2 years,C,RENT,2/1/16,Bad,
1041332,2/1/16,Fully Paid, 36 months,15000,40000,22.89,710,66,3 years,B,OWN,2/1/16,Good,
1041336,2/1/16,Fully Paid, 60 months,10500,66000,10.8,665,,5 years,C,RENT,2/1/16,Good,
1041337,2/1/16,Fully Paid, 36 months,15000,45000,8.96,690,17,10+ years,A,OWN,2/1/16,Good,
1041338,2/1/16,Late (31-120 days), 36 months,10000,100000,18.52,720,,5 years,A,MORTGAGE,2/1/16,Bad,
1041340,2/1/16,Current, 36 months,12000,44000,22.13,710,43,,A,MORTGAGE,2/1/16,Good,
1041343,2/1/16,Fully Paid, 36 months,35000,190000,12.27,695,72,10+ years,D,MORTGAGE,2/1/16,Good,
1041345,2/1/16,Fully Paid, 36 months,24000,90000,7.63,740,76,10+ years,A,RENT,2/1/16,Good,
1041346,2/1/16,Fully Paid, 60 months,16800,60000,21.7,750,,10+ years,A,MORTGAGE,2/1/16,Good,
1041349,2/1/16,Fully Paid, 36 months,23000,76000,24.19,705,24,< 1 year,A,OWN,2/1/16,Good,
1041353,2/1/16,Charged Off, 36 months,4200,10000,19.81,715,,,B,MORTGAGE,2/1/16,Bad,
1041354,2/1/16,Fully Paid, 36 months,3600,100000,12.53,660,4,< 1 year,C,RENT,2/1/16,Good,
1041356,2/1/16,Fully Paid, 36 months,3200,92300,13.95,715,56,3 years,C,RENT,2/1/16,Good,
1041358,2/1/16,Fully Paid, 36 months,23100,55000,13.53,660,,10+ years,C,MORTGAGE,2/1/16,Good,
1041360,2/1/16,Fully Paid, 36 months,12000,75000,8.58,810,,10+ years,A,MORTGAGE,2/1/16,Good,
1041361,2/1/16,Fully Paid, 60 months,25000,135000,17.81,720,,10+ years,C,MORTGAGE,2/1/16,Good,
1041362,2/1/16,Fully Paid, 36 months,6000,44000,7.88,730,,3 years,B,RENT,2/1/16,Good,
1041366,2/1/16,Fully Paid, 36 months,3500,180000,19.85,695,,6 years,C,MORTGAGE,2/1/16,Good,
1041373,2/1/16,Fully Paid, 36 months,5600,66052,17.25,725,,10+ years,B,MORTGAGE,2/1/16,Good,
1041376,2/1/16,Fully Paid, 36 months,20000,100000,19.89,720,16,1 year,B,RENT,2/1/16,Good,
1041378,2/1/16,Fully Paid, 36 months,24000,91000,16.73,695,55,,A,MORTGAGE,2/1/16,Good,
1041380,2/1/16,Fully Paid, 36 months,10000,67200,27.07,780,,10+ years,A,RENT,2/1/16,Good,
1041382,2/1/16,Fully Paid, 36 months,32950,79000,34.15,690,,8 years,E,RENT,2/1/16,Good,
1041383,2/1/16,Fully Paid, 60 months,21000,125000,29.64,695,15,10+ years,C,MORTGAGE,2/1/16,Good,
1041385,2/1/16,Fully Paid, 36 months,30000,124329.28,20.92,700,70,10+ years,B,OWN,2/1/16,Good,
1041387,2/1/16,Charged Off, 36 months,25000,78000,33.88,725,,3 years,C,MORTGAGE,2/1/16,Bad,
1041388,2/1/16,Charged Off, 36 months,13000,53388,18.61,685,28,10+ years,B,RENT,2/1/16,Bad,
1041390,2/1/16,Current, 60 months,20000,158000,20.1,700,19,10+ years,C,MORTGAGE,2/1/16,Good,
1041395,2/1/16,Fully Paid, 36 months,18200,39600,18.02,730,,4 years,C,RENT,2/1/16,Good,
1041397,2/1/16,Fully Paid, 36 months,7000,75000,8.1,700,14,2 years,C,RENT,2/1/16,Good,
1041398,2/1/16,Current, 60 months,12000,73500,11.84,705,,6 years,B,OWN,2/1/16,Good,
1041402,2/1/16,Fully Paid, 36 months,12000,56000,13.5,825,,10+ years,A,OWN,2/1/16,Good,
1041403,2/1/16,Fully Paid, 36 months,10500,120000,10.33,740,39,8 years,A,RENT,2/1/16,Good,
1041404,2/1/16,Fully Paid, 60 months,24000,131000,14.26,705,36,9 years,A,RENT,2/1/16,Good,
1041405,2/1/16,Charged Off, 36 months,22000,100000,18.14,685,21,5 years,C,RENT,2/1/16,Bad,
1041406,2/1/16,Charged Off, 36 months,20000,96000,20.88,685,,9 years,C,MORTGAGE,2/1/16,Bad,
1041407,2/1/16,Fully Paid, 36 months,13000,90000,25.83,685,36,1 year,B,RENT,2/1/16,Good,
1041409,2/1/16,Current, 60 months,12000,70000,21.89,670,,10+ years,C,OWN,2/1/16,Good,
1041411,2/1/16,Fully Paid, 36 months,1000,48000,12.4,710,,4 years,D,RENT,2/1/16,Good,
1041414,2/1/16,Fully Paid, 36 months,20000,74000,22.42,665,,5 years,C,RENT,2/1/16,Good,
1041417,2/1/16,Current, 60 months,10000,40000,14.52,670,20,10+ years,C,MORTGAGE,2/1/16,Good,
1041419,2/1/16,Fully Paid, 36 months,12850,77000,10.61,660,59,2 years,C,MORTGAGE,2/1/16,Good,
1041422,2/1/16,Fully Paid, 60 months,25000,175000,14.65,710,,,B,OWN,2/1/16,Good,
1041426,2/1/16,Fully Paid, 60 months,16000,50000,21.05,780,,5 years,C,OWN,2/1/16,Good,
1041431,2/1/16,Fully Paid, 36 months,5000,59520,17,665,,10+ years,D,RENT,2/1/16,Good,
1041436,2/1/16,Fully Paid, 60 months,22400,72000,28.54,695,14,5 years,C,RENT,2/1/16,Good,
1041441,2/1/16,Fully Paid, 60 months,12000,29500,21.72,700,,7 years,C,OWN,2/1/16,Good,
1041442,2/1/16,Fully Paid, 36 months,2400,42000,7.29,725,,10+ years,B,MORTGAGE,2/1/16,Good,
1041443,2/1/16,Fully Paid, 36 months,5000,59800,30.78,660,23,10+ years,D,OWN,2/1/16,Good,
