,issue_d,loan_status,term,funded_amnt,annual_inc,dti,fico_range_low,mths_since_last_delinq,emp_length,grade,home_ownership,issue_date
1040820,2016-02-01,Fully Paid, 36 months,3125.0,24000.0,4.83,680.0,,3 years,E,RENT,2016-02-01
1040822,2016-02-01,Fully Paid, 36 months,6200.0,35000.0,37.38,720.0,22.0,1 year,C,RENT,2016-02-01
1040834,2016-02-01,Charged Off, 36 months,18000.0,125000.0,17.25,680.0,,1 year,C,MORTGAGE,2016-02-01
1040843,2016-02-01,Fully Paid, 36 months,35000.0,145000.0,7.7,740.0,,3 years,C,MORTGAGE,2016-02-01
1040851,2016-02-01,Fully Paid, 36 months,4100.0,20448.0,22.89,725.0,,,D,MORTGAGE,2016-02-01
1040857,2016-02-01,Fully Paid, 36 months,7700.0,72500.0,8.44,690.0,35.0,4 years,A,RENT,2016-02-01
1040859,2016-02-01,Charged Off, 36 months,12000.0,24000.0,29.66,740.0,,10+ years,A,MORTGAGE,2016-02-01
1040868,2016-02-01,Charged Off, 36 months,35000.0,180000.0,5.73,725.0,,10+ years,A,MORTGAGE,2016-02-01
1040872,2016-02-01,Current, 60 months,34625.0,225000.0,16.45,690.0,,10+ years,B,MORTGAGE,2016-02-01
1040874,2016-02-01,Fully Paid, 36 months,27000.0,158133.0,13.07,695.0,,10+ years,C,RENT,2016-02-01
1040880,2016-02-01,Fully Paid, 36 months,15000.0,68000.0,9.51,790.0,,10+ years,A,MORTGAGE,2016-02-01
1040882,2016-02-01,Fully Paid, 36 months,28800.0,195000.0,16.16,755.0,,5 years,A,RENT,2016-02-01
1040884,2016-02-01,Fully Paid, 36 months,9200.0,20000.0,17.47,705.0,35.0,< 1 year,C,OWN,2016-02-01
1040892,2016-02-01,Fully Paid, 36 months,18000.0,180000.0,14.07,745.0,,10+ years,A,MORTGAGE,2016-02-01
1040893,2016-02-01,Charged Off, 36 months,10000.0,34600.0,12.97,665.0,70.0,1 year,C,OWN,2016-02-01
1040899,2016-02-01,Current, 36 months,6400.0,70000.0,6.74,695.0,8.0,1 year,B,MORTGAGE,2016-02-01
1040901,2016-02-01,Fully Paid, 36 months,21000.0,90000.0,23.07,745.0,21.0,10+ years,A,MORTGAGE,2016-02-01
1040902,2016-02-01,Fully Paid, 36 months,26775.0,120000.0,9.59,680.0,2.0,< 1 year,A,MORTGAGE,2016-02-01
1040906,2016-02-01,Fully Paid, 36 months,15850.0,55000.0,19.44,775.0,,< 1 year,B,MORTGAGE,2016-02-01
1040910,2016-02-01,Fully Paid, 36 months,6500.0,69000.0,5.22,790.0,32.0,,A,RENT,2016-02-01
1040915,2016-02-01,Fully Paid, 36 months,25000.0,94600.0,13.75,695.0,79.0,10+ years,A,MORTGAGE,2016-02-01
1040918,2016-02-01,Current, 60 months,16000.0,102000.0,13.89,710.0,31.0,10+ years,B,RENT,2016-02-01
1040924,2016-02-01,Current, 60 months,15000.0,62000.0,19.59,675.0,41.0,10+ years,C,MORTGAGE,2016-02-01
1040929,2016-02-01,Charged Off, 60 months,13200.0,51500.0,25.66,685.0,,2 years,B,MORTGAGE,2016-02-01
1040934,2016-02-01,Charged Off, 60 months,28000.0,83000.0,18.19,670.0,,10+ years,D,MORTGAGE,2016-02-01
1040936,2016-02-01,Fully Paid, 36 months,6000.0,105996.0,8.08,715.0,50.0,8 years,F,MORTGAGE,2016-02-01
1040944,2016-02-01,Fully Paid, 36 months,8000.0,45000.0,27.52,725.0,57.0,< 1 year,A,MORTGAGE,2016-02-01
1040945,2016-02-01,Fully Paid, 36 months,7500.0,90000.0,27.2,730.0,,< 1 year,B,RENT,2016-02-01
1040947,2016-02-01,Fully Paid, 36 months,30000.0,185000.0,12.53,680.0,15.0,10+ years,B,MORTGAGE,2016-02-01
1040951,2016-02-01,Fully Paid, 36 months,10000.0,70000.0,17.35,660.0,42.0,10+ years,C,MORTGAGE,2016-02-01
1040957,2016-02-01,Fully Paid, 36 months,24000.0,72000.0,32.3,695.0,,8 years,C,MORTGAGE,2016-02-01
1040958,2016-02-01,Current, 36 months,16000.0,120000.0,11.73,680.0,23.0,2 years,C,RENT,2016-02-01
1040963,2016-02-01,Fully Paid, 36 months,5000.0,44000.0,13.59,715.0,,,A,RENT,2016-02-01
1040965,2016-02-01,Fully Paid, 36 months,15000.0,110000.0,27.59,680.0,17.0,8 years,B,MORTGAGE,2016-02-01
1040966,2016-02-01,Fully Paid, 36 months,15000.0,52000.0,15.62,715.0,36.0,7 years,A,MORTGAGE,2016-02-01
1040974,2016-02-01,Fully Paid, 36 months,15000.0,52000.0,1.32,745.0,,7 years,B,MORTGAGE,2016-02-01
1040979,2016-02-01,Fully Paid, 36 months,15000.0,117000.0,19.76,720.0,25.0,10+ years,B,MORTGAGE,2016-02-01
1040984,2016-02-01,Fully Paid, 36 months,9900.0,80000.0,10.83,725.0,63.0,8 years,A,RENT,2016-02-01
1040985,2016-02-01,Fully Paid, 36 months,20000.0,435000.0,3.07,700.0,28.0,4 years,B,OWN,2016-02-01
1040987,2016-02-01,Charged Off, 36 months,28000.0,190000.0,7.53,705.0,28.0,10+ years,A,OWN,2016-02-01
1040990,2016-02-01,Fully Paid, 36 months,14000.0,105000.0,5.35,700.0,44.0,< 1 year,A,MORTGAGE,2016-02-01
1040992,2016-02-01,Fully Paid, 36 months,1000.0,41000.0,13.7,710.0,28.0,10+ years,B,MORTGAGE,2016-02-01
1040993,2016-02-01,Fully Paid, 36 months,8500.0,46000.0,37.02,725.0,,< 1 year,B,OWN,2016-02-01
1040994,2016-02-01,Fully Paid, 36 months,12000.0,145000.0,28.13,695.0,,9 years,C,RENT,2016-02-01
1040995,2016-02-01,Fully Paid, 60 months,24000.0,72500.0,29.95,690.0,3.0,5 years,C,RENT,2016-02-01
1040996,2016-02-01,Fully Paid, 36 months,15000.0,80000.0,13.32,720.0,42.0,10+ years,A,RENT,2016-02-01
1040998,2016-02-01,Fully Paid, 36 months,10000.0,129000.0,18.03,695.0,70.0,10+ years,B,MORTGAGE,2016-02-01
1041000,2016-02-01,Fully Paid, 36 months,35000.0,105000.0,16.09,725.0,,2 years,C,MORTGAGE,2016-02-01
1041003,2016-02-01,Current, 60 months,35000.0,100000.0,26.35,705.0,,6 years,C,MORTGAGE,2016-02-01
1041007,2016-02-01,Fully Paid, 36 months,20000.0,50000.0,18.98,750.0,,10+ years,A,MORTGAGE,2016-02-01
1041011,2016-02-01,Fully Paid, 36 months,15000.0,140000.0,10.26,775.0,,10+ years,A,RENT,2016-02-01
1041014,2016-02-01,Fully Paid, 36 months,4000.0,110000.0,7.62,665.0,52.0,10+ years,C,MORTGAGE,2016-02-01
1041015,2016-02-01,Fully Paid, 36 months,16000.0,51000.0,14.0,675.0,,10+ years,C,MORTGAGE,2016-02-01
1041016,2016-02-01,Fully Paid, 36 months,15000.0,62000.0,19.51,780.0,,2 years,A,RENT,2016-02-01
1041018,2016-02-01,Fully Paid, 36 months,5100.0,50000.0,24.2,705.0,72.0,8 years,E,RENT,2016-02-01
1041021,2016-02-01,Fully Paid, 36 months,7200.0,20000.0,6.36,725.0,,1 year,D,OWN,2016-02-01
1041024,2016-02-01,Fully Paid, 36 months,28800.0,60000.0,29.52,755.0,,3 years,B,RENT,2016-02-01
1041025,2016-02-01,Fully Paid, 36 months,5000.0,65000.0,4.56,780.0,,10+ years,A,MORTGAGE,2016-02-01
1041027,2016-02-01,Fully Paid, 36 months,35000.0,101000.0,27.66,690.0,,10+ years,C,MORTGAGE,2016-02-01
1041034,2016-02-01,Fully Paid, 36 months,15000.0,52000.0,23.46,750.0,,8 years,A,RENT,2016-02-01
1041035,2016-02-01,Fully Paid, 36 months,9600.0,103865.0,24.45,700.0,,10+ years,D,OWN,2016-02-01
1041037,2016-02-01,Fully Paid, 36 months,5000.0,30000.0,8.51,800.0,,,A,RENT,2016-02-01
1041039,2016-02-01,Fully Paid, 36 months,10000.0,46000.0,22.88,685.0,,10+ years,B,MORTGAGE,2016-02-01
1041040,2016-02-01,Fully Paid, 36 months,10000.0,74000.0,13.27,725.0,46.0,< 1 year,A,MORTGAGE,2016-02-01
1041043,2016-02-01,Current, 60 months,28000.0,125000.0,18.98,710.0,,3 years,B,MORTGAGE,2016-02-01
1041047,2016-02-01,Fully Paid, 36 months,29225.0,146000.0,25.88,670.0,2.0,10+ years,D,MORTGAGE,2016-02-01
1041052,2016-02-01,Fully Paid, 60 months,24000.0,91000.0,17.3,695.0,71.0,10+ years,B,RENT,2016-02-01
1041055,2016-02-01,Fully Paid, 36 months,24000.0,71000.0,18.18,665.0,,10+ years,C,RENT,2016-02-01
1041056,2016-02-01,Fully Paid, 36 months,12000.0,42000.0,13.2,675.0,5.0,5 years,C,MORTGAGE,2016-02-01
1041057,2016-02-01,Fully Paid, 36 months,27725.0,76000.0,21.45,750.0,16.0,10+ years,B,MORTGAGE,2016-02-01
1041063,2016-02-01,Fully Paid, 36 months,35000.0,190000.0,12.75,800.0,,5 years,A,MORTGAGE,2016-02-01
1041064,2016-02-01,Fully Paid, 36 months,10000.0,55000.0,25.59,730.0,,2 years,A,RENT,2016-02-01
1041065,2016-02-01,Fully Paid, 60 months,12000.0,124000.0,12.07,700.0,,7 years,C,MORTGAGE,2016-02-01
1041070,2016-02-01,Fully Paid, 36 months,35000.0,215000.0,23.71,690.0,,5 years,C,MORTGAGE,2016-02-01
1041073,2016-02-01,Fully Paid, 36 months,12000.0,55000.0,18.72,680.0,,8 years,C,RENT,2016-02-01
1041075,2016-02-01,Fully Paid, 36 months,5000.0,43000.0,19.59,680.0,48.0,10+ years,D,MORTGAGE,2016-02-01
1041084,2016-02-01,Fully Paid, 36 months,8000.0,55000.0,19.82,735.0,,10+ years,A,MORTGAGE,2016-02-01
1041089,2016-02-01,Fully Paid, 36 months,7000.0,38000.0,28.4,670.0,24.0,2 years,C,MORTGAGE,2016-02-01
1041093,2016-02-01,Fully Paid, 36 months,21000.0,121000.0,20.93,705.0,26.0,10+ years,B,MORTGAGE,2016-02-01
1041103,2016-02-01,Charged Off, 36 months,10000.0,35900.0,29.18,675.0,,10+ years,C,RENT,2016-02-01
1041104,2016-02-01,Fully Paid, 36 months,29000.0,142000.0,9.2,685.0,26.0,10+ years,A,MORTGAGE,2016-02-01
1041106,2016-02-01,Fully Paid, 36 months,10000.0,100000.0,8.35,705.0,20.0,10+ years,A,OWN,2016-02-01
1041107,2016-02-01,Fully Paid, 36 months,10900.0,26000.0,30.98,710.0,,7 years,C,RENT,2016-02-01
1041116,2016-02-01,Fully Paid, 36 months,7000.0,26832.0,11.36,695.0,,7 years,B,RENT,2016-02-01
1041117,2016-02-01,Fully Paid, 36 months,2000.0,28000.0,23.61,710.0,6.0,< 1 year,B,RENT,2016-02-01
1041120,2016-02-01,Fully Paid, 36 months,2150.0,48000.0,22.13,660.0,,4 years,C,RENT,2016-02-01
1041124,2016-02-01,Fully Paid, 36 months,24000.0,81000.0,18.8,695.0,8.0,10+ years,C,MORTGAGE,2016-02-01
1041127,2016-02-01,Fully Paid, 36 months,4200.0,48000.0,32.1,710.0,,10+ years,B,MORTGAGE,2016-02-01
1041130,2016-02-01,Fully Paid, 36 months,17600.0,50000.0,9.82,690.0,49.0,7 years,C,RENT,2016-02-01
1041131,2016-02-01,Fully Paid, 36 months,15000.0,135000.0,31.32,675.0,41.0,< 1 year,C,MORTGAGE,2016-02-01
1041132,2016-02-01,Fully Paid, 36 months,10500.0,92000.0,19.02,790.0,,3 years,A,MORTGAGE,2016-02-01
1041133,2016-02-01,Fully Paid, 36 months,28000.0,175000.0,16.9,705.0,,10+ years,A,MORTGAGE,2016-02-01
1041134,2016-02-01,Current, 60 months,28000.0,117500.0,22.65,695.0,,10+ years,B,MORTGAGE,2016-02-01
1041143,2016-02-01,Fully Paid, 36 months,5000.0,58517.98,28.63,695.0,38.0,10+ years,B,MORTGAGE,2016-02-01
1041146,2016-02-01,Current, 60 months,20000.0,100000.0,24.82,685.0,76.0,10+ years,C,MORTGAGE,2016-02-01
1041150,2016-02-01,Fully Paid, 36 months,12000.0,70000.0,14.64,720.0,,8 years,A,MORTGAGE,2016-02-01
1041153,2016-02-01,Fully Paid, 36 months,15000.0,48000.0,33.78,705.0,20.0,10+ years,A,MORTGAGE,2016-02-01
1041160,2016-02-01,Fully Paid, 36 months,13000.0,100000.0,13.77,675.0,9.0,9 years,C,MORTGAGE,2016-02-01
1041164,2016-02-01,Fully Paid, 36 months,8000.0,55000.0,27.08,670.0,65.0,1 year,D,RENT,2016-02-01
1041166,2016-02-01,Fully Paid, 36 months,10875.0,31000.0,19.86,755.0,,< 1 year,A,MORTGAGE,2016-02-01
1041168,2016-02-01,Fully Paid, 36 months,25000.0,130000.0,22.71,780.0,,10+ years,A,MORTGAGE,2016-02-01
1041169,2016-02-01,Current, 60 months,10000.0,51000.0,27.95,665.0,71.0,2 years,E,RENT,2016-02-01
1041172,2016-02-01,Fully Paid, 36 months,35000.0,80000.0,11.16,745.0,,< 1 year,B,MORTGAGE,2016-02-01
1041174,2016-02-01,Current, 60 months,14075.0,32000.0,21.61,730.0,36.0,5 years,C,RENT,2016-02-01
1041175,2016-02-01,Fully Paid, 36 months,5075.0,114000.0,25.91,715.0,,< 1 year,B,MORTGAGE,2016-02-01
1041176,2016-02-01,Fully Paid, 36 months,25000.0,90000.0,13.64,735.0,,,C,RENT,2016-02-01
1041178,2016-02-01,Current, 60 months,12000.0,52000.0,14.4,700.0,,3 years,C,MORTGAGE,2016-02-01
1041181,2016-02-01,Charged Off, 36 months,4400.0,75000.0,6.42,780.0,,4 years,E,RENT,2016-02-01
1041182,2016-02-01,Fully Paid, 36 months,21000.0,72500.0,15.17,705.0,36.0,10+ years,A,MORTGAGE,2016-02-01
1041183,2016-02-01,Fully Paid, 36 months,15000.0,96000.0,16.95,695.0,,4 years,B,RENT,2016-02-01
1041185,2016-02-01,Charged Off, 60 months,11700.0,32000.0,16.92,670.0,,8 years,C,OWN,2016-02-01
1041186,2016-02-01,Fully Paid, 36 months,7500.0,120000.0,23.55,720.0,70.0,1 year,A,MORTGAGE,2016-02-01
1041187,2016-02-01,Charged Off, 36 months,10200.0,34000.0,11.39,675.0,72.0,7 years,C,MORTGAGE,2016-02-01
1041190,2016-02-01,Fully Paid, 60 months,12000.0,74000.0,11.61,690.0,30.0,10+ years,B,OWN,2016-02-01
1041192,2016-02-01,Fully Paid, 36 months,16000.0,90750.0,5.75,700.0,,6 years,B,OWN,2016-02-01
1041197,2016-02-01,Fully Paid, 60 months,34800.0,225000.0,18.72,705.0,,10+ years,B,MORTGAGE,2016-02-01
1041199,2016-02-01,Fully Paid, 36 months,1600.0,48000.0,11.38,660.0,50.0,2 years,C,RENT,2016-02-01
1041200,2016-02-01,Current, 60 months,24000.0,112000.0,17.51,720.0,38.0,5 years,B,MORTGAGE,2016-02-01
1041206,2016-02-01,Fully Paid, 36 months,8500.0,28500.0,18.02,680.0,,5 years,A,RENT,2016-02-01
1041210,2016-02-01,Fully Paid, 36 months,14000.0,57500.0,32.18,730.0,,2 years,B,MORTGAGE,2016-02-01
1041212,2016-02-01,Fully Paid, 36 months,25000.0,110000.0,26.37,715.0,37.0,10+ years,C,MORTGAGE,2016-02-01
1041214,2016-02-01,Fully Paid, 36 months,8400.0,78000.0,17.25,670.0,17.0,10+ years,C,RENT,2016-02-01
1041215,2016-02-01,Fully Paid, 36 months,10000.0,45000.0,26.35,700.0,,10+ years,B,MORTGAGE,2016-02-01
1041218,2016-02-01,Charged Off, 60 months,10525.0,37967.0,24.94,685.0,41.0,2 years,C,MORTGAGE,2016-02-01
1041219,2016-02-01,Fully Paid, 36 months,13500.0,37500.0,12.7,700.0,,4 years,D,MORTGAGE,2016-02-01
1041222,2016-02-01,Fully Paid, 36 months,2400.0,69000.0,20.0,660.0,,2 years,C,MORTGAGE,2016-02-01
1041224,2016-02-01,Charged Off, 36 months,7000.0,44000.0,25.34,705.0,,6 years,C,MORTGAGE,2016-02-01
1041226,2016-02-01,Fully Paid, 36 months,25000.0,63000.0,14.08,710.0,37.0,1 year,A,RENT,2016-02-01
1041233,2016-02-01,Fully Paid, 36 months,12000.0,63000.0,17.05,700.0,11.0,2 years,A,MORTGAGE,2016-02-01
1041235,2016-02-01,Fully Paid, 36 months,6000.0,49983.0,26.39,715.0,,5 years,A,MORTGAGE,2016-02-01
1041237,2016-02-01,Fully Paid, 36 months,10000.0,75000.0,10.16,730.0,,10+ years,A,RENT,2016-02-01
1041238,2016-02-01,Fully Paid, 36 months,10000.0,60000.0,17.82,770.0,,2 years,A,MORTGAGE,2016-02-01
1041252,2016-02-01,Fully Paid, 36 months,7450.0,68000.0,14.07,660.0,,7 years,C,RENT,2016-02-01
1041259,2016-02-01,Fully Paid, 36 months,5000.0,35256.0,26.58,765.0,,,B,MORTGAGE,2016-02-01
1041263,2016-02-01,Fully Paid, 36 months,18150.0,56732.0,19.06,685.0,,1 year,C,RENT,2016-02-01
1041266,2016-02-01,Fully Paid, 36 months,9100.0,80000.0,14.09,700.0,66.0,6 years,B,OWN,2016-02-01
1041268,2016-02-01,Fully Paid, 36 months,10000.0,130000.0,20.95,800.0,,7 years,A,MORTGAGE,2016-02-01
1041269,2016-02-01,Current, 60 months,11000.0,25700.0,26.87,705.0,47.0,5 years,C,OWN,2016-02-01
1041276,2016-02-01,Fully Paid, 36 months,9600.0,38000.0,13.61,745.0,33.0,2 years,A,RENT,2016-02-01
1041279,2016-02-01,Fully Paid, 60 months,25000.0,77000.0,26.96,680.0,,10+ years,B,MORTGAGE,2016-02-01
1041282,2016-02-01,Charged Off, 36 months,7200.0,30000.0,13.12,680.0,,1 year,D,RENT,2016-02-01
1041283,2016-02-01,Fully Paid, 36 months,12000.0,69000.0,24.94,660.0,,3 years,C,RENT,2016-02-01
1041285,2016-02-01,Fully Paid, 36 months,24000.0,75000.0,22.8,710.0,,10+ years,A,RENT,2016-02-01
1041286,2016-02-01,Fully Paid, 36 months,16800.0,120000.0,10.86,770.0,,3 years,A,RENT,2016-02-01
1041287,2016-02-01,Fully Paid, 60 months,14400.0,65000.0,8.6,670.0,16.0,4 years,C,RENT,2016-02-01
1041288,2016-02-01,Fully Paid, 36 months,5000.0,54804.0,23.29,770.0,,10+ years,A,MORTGAGE,2016-02-01
1041289,2016-02-01,Fully Paid, 36 months,13500.0,50000.0,31.42,710.0,,5 years,C,OWN,2016-02-01
1041294,2016-02-01,Fully Paid, 36 months,5500.0,30000.0,19.08,685.0,23.0,4 years,C,MORTGAGE,2016-02-01
1041298,2016-02-01,Fully Paid, 36 months,8000.0,50000.0,7.01,715.0,,1 year,B,MORTGAGE,2016-02-01
1041299,2016-02-01,Fully Paid, 36 months,10800.0,30000.0,9.8,720.0,,6 years,C,OWN,2016-02-01
1041300,2016-02-01,Fully Paid, 36 months,17400.0,85000.0,29.55,690.0,52.0,5 years,D,RENT,2016-02-01
1041301,2016-02-01,Fully Paid, 36 months,24000.0,58000.0,20.19,750.0,,6 years,A,MORTGAGE,2016-02-01
1041304,2016-02-01,Current, 36 months,14400.0,42000.0,27.6,680.0,,2 years,B,RENT,2016-02-01
1041307,2016-02-01,Charged Off, 36 months,27675.0,100500.0,19.18,690.0,,10+ years,D,MORTGAGE,2016-02-01
1041309,2016-02-01,Fully Paid, 36 months,24000.0,65000.0,16.3,710.0,41.0,10+ years,A,OWN,2016-02-01
1041310,2016-02-01,Charged Off, 36 months,10775.0,40000.0,33.98,690.0,41.0,4 years,D,OWN,2016-02-01
1041313,2016-02-01,Fully Paid, 60 months,10000.0,78496.0,28.62,710.0,,9 years,C,MORTGAGE,2016-02-01
1041316,2016-02-01,Current, 60 months,10000.0,28000.0,26.49,660.0,,< 1 year,C,RENT,2016-02-01
1041317,2016-02-01,Fully Paid, 36 months,20000.0,73444.0,31.66,660.0,1.0,10+ years,C,RENT,2016-02-01
1041319,2016-02-01,Fully Paid, 36 months,35000.0,92000.0,15.68,710.0,15.0,7 years,D,OWN,2016-02-01
1041320,2016-02-01,Fully Paid, 36 months,12000.0,70000.0,12.48,685.0,,,B,MORTGAGE,2016-02-01
1041322,2016-02-01,Fully Paid, 36 months,3000.0,36000.0,7.3,680.0,,10+ years,B,MORTGAGE,2016-02-01
1041324,2016-02-01,Charged Off, 60 months,11000.0,63000.0,11.56,695.0,10.0,5 years,B,RENT,2016-02-01
1041326,2016-02-01,Fully Paid, 36 months,25000.0,105000.0,16.54,680.0,21.0,4 years,C,MORTGAGE,2016-02-01
1041327,2016-02-01,Fully Paid, 60 months,14000.0,70000.0,26.35,725.0,,2 years,B,MORTGAGE,2016-02-01
1041328,2016-02-01,Charged Off, 36 months,5000.0,150000.0,13.26,680.0,57.0,2 years,C,RENT,2016-02-01
1041332,2016-02-01,Fully Paid, 36 months,15000.0,40000.0,22.89,710.0,66.0,3 years,B,OWN,2016-02-01
1041336,2016-02-01,Fully Paid, 60 months,10500.0,66000.0,10.8,665.0,,5 years,C,RENT,2016-02-01
1041337,2016-02-01,Fully Paid, 36 months,15000.0,45000.0,8.96,690.0,17.0,10+ years,A,OWN,2016-02-01
1041338,2016-02-01,Late (31-120 days), 36 months,10000.0,100000.0,18.52,720.0,,5 years,A,MORTGAGE,2016-02-01
1041340,2016-02-01,Current, 36 months,12000.0,44000.0,22.13,710.0,43.0,,A,MORTGAGE,2016-02-01
1041343,2016-02-01,Fully Paid, 36 months,35000.0,190000.0,12.27,695.0,72.0,10+ years,D,MORTGAGE,2016-02-01
1041345,2016-02-01,Fully Paid, 36 months,24000.0,90000.0,7.63,740.0,76.0,10+ years,A,RENT,2016-02-01
1041346,2016-02-01,Fully Paid, 60 months,16800.0,60000.0,21.7,750.0,,10+ years,A,MORTGAGE,2016-02-01
1041349,2016-02-01,Fully Paid, 36 months,23000.0,76000.0,24.19,705.0,24.0,< 1 year,A,OWN,2016-02-01
1041353,2016-02-01,Charged Off, 36 months,4200.0,10000.0,19.81,715.0,,,B,MORTGAGE,2016-02-01
1041354,2016-02-01,Fully Paid, 36 months,3600.0,100000.0,12.53,660.0,4.0,< 1 year,C,RENT,2016-02-01
1041356,2016-02-01,Fully Paid, 36 months,3200.0,92300.0,13.95,715.0,56.0,3 years,C,RENT,2016-02-01
1041358,2016-02-01,Fully Paid, 36 months,23100.0,55000.0,13.53,660.0,,10+ years,C,MORTGAGE,2016-02-01
1041360,2016-02-01,Fully Paid, 36 months,12000.0,75000.0,8.58,810.0,,10+ years,A,MORTGAGE,2016-02-01
1041361,2016-02-01,Fully Paid, 60 months,25000.0,135000.0,17.81,720.0,,10+ years,C,MORTGAGE,2016-02-01
1041362,2016-02-01,Fully Paid, 36 months,6000.0,44000.0,7.88,730.0,,3 years,B,RENT,2016-02-01
1041366,2016-02-01,Fully Paid, 36 months,3500.0,180000.0,19.85,695.0,,6 years,C,MORTGAGE,2016-02-01
1041373,2016-02-01,Fully Paid, 36 months,5600.0,66052.0,17.25,725.0,,10+ years,B,MORTGAGE,2016-02-01
1041376,2016-02-01,Fully Paid, 36 months,20000.0,100000.0,19.89,720.0,16.0,1 year,B,RENT,2016-02-01
1041378,2016-02-01,Fully Paid, 36 months,24000.0,91000.0,16.73,695.0,55.0,,A,MORTGAGE,2016-02-01
1041380,2016-02-01,Fully Paid, 36 months,10000.0,67200.0,27.07,780.0,,10+ years,A,RENT,2016-02-01
1041382,2016-02-01,Fully Paid, 36 months,32950.0,79000.0,34.15,690.0,,8 years,E,RENT,2016-02-01
1041383,2016-02-01,Fully Paid, 60 months,21000.0,125000.0,29.64,695.0,15.0,10+ years,C,MORTGAGE,2016-02-01
1041385,2016-02-01,Fully Paid, 36 months,30000.0,124329.28,20.92,700.0,70.0,10+ years,B,OWN,2016-02-01
1041387,2016-02-01,Charged Off, 36 months,25000.0,78000.0,33.88,725.0,,3 years,C,MORTGAGE,2016-02-01
1041388,2016-02-01,Charged Off, 36 months,13000.0,53388.0,18.61,685.0,28.0,10+ years,B,RENT,2016-02-01
1041390,2016-02-01,Current, 60 months,20000.0,158000.0,20.1,700.0,19.0,10+ years,C,MORTGAGE,2016-02-01
1041395,2016-02-01,Fully Paid, 36 months,18200.0,39600.0,18.02,730.0,,4 years,C,RENT,2016-02-01
1041397,2016-02-01,Fully Paid, 36 months,7000.0,75000.0,8.1,700.0,14.0,2 years,C,RENT,2016-02-01
1041398,2016-02-01,Current, 60 months,12000.0,73500.0,11.84,705.0,,6 years,B,OWN,2016-02-01
